Date : 2026-02-12 13:50:41
Directory : e:\dev\a2a-dotnet
Total : 163 files,  16478 codes, 3426 comments, 2956 blanks, all 22860 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\dev\a2a-dotnet\src\A2A\Models\PushNotificationAuthenticationInfo.cs                                       | C#       |         10 |          9 |          3 |         22 |
| e:\dev\a2a-dotnet\src\A2A\Models\PushNotificationConfig.cs                                                   | C#       |         14 |         15 |          5 |         34 |
| e:\dev\a2a-dotnet\src\A2A\Models\SecurityScheme.cs                                                           | C#       |        106 |        214 |         21 |        341 |
| e:\dev\a2a-dotnet\src\A2A\Models\TaskArtifactUpdateEvent.cs                                                  | C#       |         11 |         12 |          4 |         27 |
| e:\dev\a2a-dotnet\src\A2A\Models\TaskIdParams.cs                                                             | C#       |         11 |          9 |          3 |         23 |
| e:\dev\a2a-dotnet\src\A2A\Models\TaskPushNotificationConfig.cs                                               | C#       |         11 |          9 |          3 |         23 |
| e:\dev\a2a-dotnet\src\A2A\Models\TaskQueryParams.cs                                                          | C#       |          7 |          6 |          2 |         15 |
| e:\dev\a2a-dotnet\src\A2A\Models\TaskState.cs                                                                | C#       |         15 |         30 |         10 |         55 |
| e:\dev\a2a-dotnet\src\A2A\Models\TaskStatusUpdateEvent.cs                                                    | C#       |         10 |          9 |          3 |         22 |
| e:\dev\a2a-dotnet\src\A2A\Models\TaskUpdateEvent.cs                                                          | C#       |         13 |         13 |          5 |         31 |
| e:\dev\a2a-dotnet\src\A2A\Models\TextPart.cs                                                                 | C#       |          8 |          6 |          2 |         16 |
| e:\dev\a2a-dotnet\src\A2A\Polyfills\System\Diagnostics\CodeAnalysis\UnconditionalSuppressMessageAttribute.cs | C#       |         18 |         60 |          8 |         86 |
| e:\dev\a2a-dotnet\src\A2A\Polyfills\System\Runtime\CompilerServices\CompilerFeatureRequiredAttribute.cs      | C#       |         15 |         14 |          6 |         35 |
| e:\dev\a2a-dotnet\src\A2A\Polyfills\System\Runtime\CompilerServices\IsExternalInit.cs                        | C#       |          4 |          6 |          2 |         12 |
| e:\dev\a2a-dotnet\src\A2A\Polyfills\System\Runtime\CompilerServices\RequiredMemberAttribute.cs               | C#       |          5 |          5 |          3 |         13 |
| e:\dev\a2a-dotnet\src\A2A\Server\ITaskManager.cs                                                             | C#       |         19 |        145 |         16 |        180 |
| e:\dev\a2a-dotnet\src\A2A\Server\ITaskStore.cs                                                               | C#       |         10 |         42 |          6 |         58 |
| e:\dev\a2a-dotnet\src\A2A\Server\InMemoryTaskStore.cs                                                        | C#       |         98 |         11 |         24 |        133 |
| e:\dev\a2a-dotnet\src\A2A\Server\TaskManager.cs                                                              | C#       |        339 |         55 |         69 |        463 |
| e:\dev\a2a-dotnet\src\A2A\Server\TaskUpdateEventEnumerator.cs                                                | C#       |         40 |         17 |         11 |         68 |
| e:\dev\a2a-dotnet\src\A2A\openapi.yaml                                                                       | YAML     |      1,022 |          1 |          5 |      1,028 |
| e:\dev\a2a-dotnet\src\Directory.Build.props                                                                  | XML      |         19 |          0 |          5 |         24 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\A2A.AspNetCore.UnitTests.csproj                             | XML      |         33 |          1 |          9 |         43 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\A2AEndpointRouteBuilderExtensionsTests.cs                   | C#       |         88 |         14 |         19 |        121 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\A2AHttpProcessorTests.cs                                    | C#       |        130 |         19 |         24 |        173 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\A2AJsonRpcProcessorTests.cs                                 | C#       |        403 |         39 |        101 |        543 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\ClientTests.cs                                              | C#       |        152 |         19 |         32 |        203 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\DistributedCacheTaskStoreTests.cs                           | C#       |        215 |         51 |         66 |        332 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\ProcessMessageTests.cs                                      | C#       |          0 |        107 |          6 |        113 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\Properties\AssemblyInfo.cs                                  | C#       |          2 |          0 |          1 |          3 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\a2a.json                                                    | JSON     |      2,045 |          0 |          2 |      2,047 |
| e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\specification.md                                            | Markdown |      1,516 |          0 |        293 |      1,809 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\A2A.UnitTests.csproj                                                   | XML      |         23 |          0 |          7 |         30 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Client\A2ACardResolverTests.cs                                         | C#       |         59 |          7 |          9 |         75 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Client\A2AClientTests.cs                                               | C#       |        491 |         50 |        109 |        650 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Client\JsonRpcContentTests.cs                                          | C#       |         67 |         12 |         17 |         96 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\GitHubIssues\Issue160.cs                                               | C#       |        109 |          0 |          6 |        115 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\A2AMethodsTests.cs                                             | C#       |         63 |         15 |         17 |         95 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\ErrorTypesTests.cs                                             | C#       |         76 |         18 |         18 |        112 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\JsonRpcErrorResponseTests.cs                                   | C#       |         55 |         12 |         14 |         81 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\JsonRpcErrorTests.cs                                           | C#       |         26 |          6 |          9 |         41 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\JsonRpcRequestConverterTests.cs                                | C#       |        474 |         66 |         97 |        637 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\MethodNotFoundErrorTests.cs                                    | C#       |         11 |          2 |          3 |         16 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\MockHttpMessageHandler.cs                                              | C#       |         16 |          0 |          3 |         19 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\A2AEventTests.cs                                                | C#       |        245 |         22 |         26 |        293 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\A2AResponseTests.cs                                             | C#       |        202 |         20 |         23 |        245 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AIContentExtensionsTests.cs                                     | C#       |        216 |          1 |         30 |        247 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AgentCardSignatureTests.cs                                      | C#       |         59 |         10 |         11 |         80 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AgentCardTests.cs                                               | C#       |        253 |         22 |         27 |        302 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AgentSkillTests.cs                                              | C#       |        125 |         14 |         17 |        156 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AgentTransportTests.cs                                          | C#       |         79 |         21 |         22 |        122 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\BaseKindDiscriminatorConverterEdgeTests.cs                      | C#       |         19 |          8 |          9 |         36 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\FileContentSpecComplianceTests.cs                               | C#       |        126 |         20 |         25 |        171 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\MessageSendParamsTests.cs                                       | C#       |         85 |          7 |         13 |        105 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\SecuritySchemeTests.cs                                          | C#       |        160 |         27 |         33 |        220 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\ParsingTests.cs                                                        | C#       |        135 |         19 |         15 |        169 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Properties\AssemblyInfo.cs                                             | C#       |          2 |          0 |          1 |          3 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Server\InMemoryTaskStoreTests.cs                                       | C#       |        186 |         42 |         55 |        283 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Server\TaskManagerTests.cs                                             | C#       |        649 |         60 |        118 |        827 |
| e:\dev\a2a-dotnet\tests\A2A.UnitTests\Server\TaskUpdateEventEnumeratorTests.cs                               | C#       |         65 |         12 |         11 |         88 |
| Total                                                                                                        |          |     16,478 |      3,426 |      2,956 |     22,860 |
+--------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
